,도서명,카테고리,정가,평점,리뷰수,태그
2161,"키워드, 공기어, 그리고 네트워크",정치/사회,"23,000",9.0,0,#크롤링 #엑셀 파일 #네이버
2162,스마트 거버넌스: 공공서비스 혁신,정치/사회,"20,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
2163,해외진출기업을 위한 경쟁력지수 구축방안 연구,정치/사회,"5,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
2164,내 아이 4차 산업혁명 시대의 인재로 키우기,가정/육아,"13,800",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
2165,첫 딥러닝 실무,컴퓨터/IT,"26,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
2166,현장에서 사용할 수 있는 앙케트 분석 입문,정치/사회,"20,000",10,0,#급 합격 #빈출 #단기 합격
2167,김용달 코치의 타격 교과서,취미/실용/스포츠,"25,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
2168,시원스쿨 LAB 빅아이엘츠 Writing START,외국어,"19,800",10,0,#스레드 #디자인 패턴 #무결성
2169,매경 TEST 600점 뛰어넘기(2020),취업/수험서,"23,000",9.9,1,#사실충실성 #탈진실 #편견
2170,대한민국 아파트시장 인사이트,경제/경영,"16,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
2171,지능형 웹 알고리즘,컴퓨터/IT,"25,000",0.0,7,#모의고사 #인사이트 #마이닝
2172,미티어 인 액션,컴퓨터/IT,"40,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
2173,Metadata,과학/기술,"19,500",9.9,0,#쿼리 #피벗 테이블 #슬라이
2174,함수형 언어 산책,컴퓨터/IT,"24,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
2175,컨베이어설계 실무 활용서,기술/공학,"30,000",8.3,14,#자본 #미래상 #빅데이터
2176,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.5,256,#고급 활용 #국가 공인 #아키텍처
